Name,Description,Repository,Website,Media,Snippet,Tech,Contributors,Score
Kiyap,Meet your new sifu!,https://github.com/MikePreston17/kiyap,https://kiyapp.herokuapp.com,Kiyap-Search-Schools.gif (https://v5.airtableusercontent.com/v1/11/11/1668679200000/orQe8foVV8YFXThstej_kg/VZdYGmOiYBtCqztY-qzrlTU6boUoGEXE2910Kq9H3TQkq7rYR6xKS-UxgA3kOQ3wol4Byu7CyFcSG8zSAiJellCGLXOUAWSkcScbFd7Gjxg/NDSjuO41ABDIzup9lnFJib5gga7J1ZTSVHJdsBT-z0Q),,"React JS,Firebase,Express JS,Node JS,Mongo DB",Braden Preston,4.0
ModemsOperandi,Build your new PC within your budget!,https://github.com/mikepreston17/modemsoperandi,https://modemsoperandi.herokuapp.com/,Modems-Operandi-AutoBuilder.gif (https://v5.airtableusercontent.com/v1/11/11/1668679200000/3-6c4y2QxWvv-pW6YthYqg/SHZj_zVciLz7jn3ywbJIJJvA8UOtkdEsWQrL0izqKFr0IN4Udz_cnfpSC8KzxfJrt8IhzLK5DXdHBuSSurTCn6Gy-oVizgKUoVnMwdjO9ejX4kTmqiVkNADP3n8EJIw6/uZyMk3EMVJ7u9NTFE6gmScgGv6p6hTF7zT5SMnVAgWk),,"Handlebars JS,bcrypt-nodejs,MySQL,Passport JS,Sequelize,Express JS","Scott Wagner,Byron P Roberts,Daniel Reynolds",3.0
MakeItMine,Build recipes with your friends!  For chefs of all expertise! ,https://github.com/MikePreston17/MakeItMine,https://make-it-mine.herokuapp.com/,MakeItMine.gif (https://v5.airtableusercontent.com/v1/11/11/1668679200000/fMD2sjyg0ETBqGq5FPn-1Q/QdqegctpKJIYIKPy0pKUbfz-LUNsPM6aJnDI1CeSk7IhyMoKRRRKN1avoiHh-ccrHsnLbfhOrBhh0U-0Ov252T6_KasEEv-dd_3995ierms/Tdc2g5462ScUpbFhT6j7sIZdwdI0uc8MnSxhwTIsl8c),,"React JS,Express JS,Neo4j,Next JS,Axios","Daniel Reynolds,Byron P Roberts",2.0
Oncor Streetlight,Report a Street light issue in your area!,,https://www.oncorstreetlight.com/,Oncor Streetlight.gif (https://v5.airtableusercontent.com/v1/11/11/1668679200000/C2SsfQrI22ZDzpTEqR2oww/kS3BcLhOhq35FQwKCFhBk9lW1qRe_Zb2981BDrfbFWC9cEgEOTL4AJ3jrmYieVyIyVdYOOmR6e-LSiLCllrqIQPSn0oG4hbagp7cJQ-3Lk0/EY3eytUQYFZ_VPqvLhqFChtk_KeAo9caX_OJiONnlT4),,"React JS,.NET Core,T-SQL,Cypress.IO,Entity Framework Core",Mike Stevenson,2.5
TPOT Toolbox,A WYSIWYG Editor,https://github.com/HarvestHaven/TPOT-Next,https://toolbox.tpot.tech/,"TPOT-Toolbox-Checkout.gif (https://v5.airtableusercontent.com/v1/11/11/1668679200000/ytWZeM_oQ3aPzDCMafutUA/j9yWtm4Pvm2FDAjmhq6WHHYDByi6oFWI7K2kDH41HvsmGlD3IZk1slorN3XuhRu3zT9IKIrhsUX33OUnHwZQrnZvdC3mNgFzdApqIxH6Scyg2YPi_YukESgjv8szp0jr/r7N9jxLMuNvbFSwnkCu0cXjQAeElDRnGxQ6OaQTvfvc),tpot-toolbox-signin.png (https://v5.airtableusercontent.com/v1/11/11/1668679200000/_JBqHT4vzzpJ54ZjMK4G9A/S4lbHdz5woqjVWFvVMcVdHib_bf-3m0AeounMnSaZm_uGfiA1g2YZTlImqOySvUgzRlPMwn852WYJ6B-zU4c-9qM9d3xwi9qUvMIGpjJiWQ/f_rJCUn5UdMB_KNBsknnnV2Gje5_H0XhUwt3MliBpl0)",,"React JS,Firebase,Draft JS",Braden Preston,5.0
Parsely,Parse the hard stuff!,https://github.com/MikePreston17/DynamicXml,,,dynamic-xml-sample-test.png (https://v5.airtableusercontent.com/v1/11/11/1668679200000/NCalh85BiycPyI7M-VvObw/st_D3f56H2kveJdXmHJLk0tL5c3Uy-COM8Houih-AumbxI2gkyti3dNpxX2KAoOg8lMud2DxH1_p7zU4o8l-g_Zord9zvCKMnCrUzeX9LZbIon7ouAhDNOSTB01hminY/SBxUHxMO5VoKPFPPeqThTEhsWHWkLNQscuRjPUlF2Kk),C#,,3.5
Nugs,Build your dream AR-15 on a budget!,,https://mikepreston17.github.io/nugs-alpine.github.io/,,,,,
